Protein	logFC	adj.P.Val	class
PHPT1	-0.658777928	1.22773430195923e-32	Non-significant
MLYCD	-0.640325669	1.23036736394875e-32	Non-significant
CLPX	-0.481448039	1.31751141971205e-32	Non-significant
NUBPL	-0.68139038	1.33079439376545e-32	Non-significant
RPL30	-0.769745808	1.38182583519901e-32	Non-significant
COL12A1	1.38504340721633	1.38457918837111e-32	UP
PDK2	-0.432889831	1.43927892586354e-32	Non-significant
ACAD9	-0.578185907	1.50139297762393e-32	Non-significant
STAT2	0.407518350453828	1.61758607130768e-32	Non-significant
NFXL1	-0.543177762	1.66239646081658e-32	Non-significant
CCDC186	-0.377224582	1.73151114978957e-32	Non-significant
MAGI1	-0.338259164	1.81664173542985e-32	Non-significant
CRAT	-1.0909182	2.02694194121512e-32	DOWN
RPL9	-0.959775794	2.06362777136591e-32	Non-significant
SEC16A	-0.48942718	2.25730304072567e-32	Non-significant
SPATS2L	0.478019246962654	2.37522977777019e-32	Non-significant
PRSS1	-2.554559093	2.42120743421581e-32	DOWN
CTRB2	-2.461450935	2.81263010757593e-32	DOWN
NDUFA10	-0.571973669	2.81263010757593e-32	Non-significant
NUCB1	0.632150789745543	2.81573648364023e-32	Non-significant
SPCS1	-1.540302861	2.86987583234989e-32	DOWN
SEC13	-0.598788851	3.26764699750948e-32	Non-significant
GNMT	-1.479847237	3.59128659263227e-32	DOWN
PABPC4L	-0.62788177	3.73934307625369e-32	Non-significant
RACK1	-0.771788249	4.12434791027451e-32	Non-significant
MMAB	-0.639160768	4.23924659783318e-32	Non-significant
S100A16	0.758700170742046	4.39488856036854e-32	Non-significant
AMY2A	-2.66850491	4.56077020996461e-32	DOWN
UBA52	-1.063034788	4.56077020996461e-32	DOWN
MICAL2	0.301387196338272	5.0410108212562e-32	Non-significant
RIDA	-0.878813526	5.45752900118014e-32	Non-significant
COQ3	-0.506821572	6.00890276256146e-32	Non-significant
POSTN	1.34752411368515	6.26471162753365e-32	UP
BRSK2	-0.133899717	6.91077321254773e-32	Non-significant
GLA	0.486005112401589	7.06464437564543e-32	Non-significant
TBC1D2	0.359030737102996	8.49082126857846e-32	Non-significant
SSR2	-0.64922602	8.49082126857846e-32	Non-significant
ERICH5	-0.595456567	9.04605517513678e-32	Non-significant
PTER	-0.602628692	9.05753798920568e-32	Non-significant
AS3MT	-0.554105737	9.38454106522156e-32	Non-significant
LMO7	0.69126004471322	1.02961417448155e-31	Non-significant
NBPF7	-0.852942806	1.44710510024785e-31	Non-significant
INHBA	0.795895750724108	1.49545895961517e-31	Non-significant
PLPP3	-0.480054677	1.51220669159535e-31	Non-significant
WDR1	0.67052081830108	1.62644044153901e-31	Non-significant
YWHAZ	0.589394574772309	1.67497828624728e-31	Non-significant
SYTL1	-0.576578531	1.86928294763042e-31	Non-significant
ELOF1	-0.196009957	1.91334827850652e-31	Non-significant
NDUFB11	-0.926106	1.98507019215786e-31	Non-significant
CTRC	-2.005396432	2.03515709263691e-31	DOWN
SERPINH1	1.02881661850439	2.03515709263691e-31	UP
RPL13A	-0.787103423	2.03515709263691e-31	Non-significant
NDUFB5	-0.979077047	2.29492838053783e-31	Non-significant
SEC61A1	-1.50644106	2.35650096504094e-31	DOWN
CTH	-1.033247967	2.38699625843245e-31	DOWN
SERPINB5	1.49359524245189	2.5082951612862e-31	UP
NMI	0.581020476532109	2.5082951612862e-31	Non-significant
EIF4B	-0.550785015	2.77914993115258e-31	Non-significant
NARS2	-0.521374522	2.96479865941825e-31	Non-significant
GPR108	-0.640182723	3.0987799368751e-31	Non-significant
CCDC47	-0.705236848	3.86361844800093e-31	Non-significant
GAMT	-0.998274617	4.92896886184159e-31	Non-significant
PNLIP	-2.694411138	5.50780053354222e-31	DOWN
FAM174B	-0.373138618	5.81603136593109e-31	Non-significant
FHL3	0.800807899859723	6.05418760169129e-31	Non-significant
ANXA1	0.886190728693057	6.22129645782054e-31	Non-significant
ALG13	-0.560406325	6.30804327846899e-31	Non-significant
L2HGDH	-0.46813872	6.49100655735221e-31	Non-significant
CELA3B	-1.979875064	6.76288251380182e-31	DOWN
RPL29	-1.027847039	6.76288251380182e-31	DOWN
EEF1E1	-0.80709091	7.7701172329488e-31	Non-significant
MAT1A	-1.078023177	7.7701172329488e-31	DOWN
DTNA	-0.947977534	8.39698024411366e-31	Non-significant
METTL7A	-1.029479336	8.5130436496947e-31	DOWN
ZNF280B	0.744962159050376	8.76060958236577e-31	Non-significant
SMPDL3B	-0.798041004	8.76060958236577e-31	Non-significant
ALOX5	0.520905557027626	8.76103282345066e-31	Non-significant
IL1RN	0.980360900397425	8.99233129830131e-31	Non-significant
YARS	-0.813193214	9.32433040951113e-31	Non-significant
RBPJL	-0.230727749	9.92105368221407e-31	Non-significant
S100P	1.95260398002857	1.01085785414897e-30	UP
SSR4	-0.851527516	1.02169169751652e-30	Non-significant
RPS27	-0.744932024	1.05216610915962e-30	Non-significant
RAB3D	-1.177745821	1.13351078342691e-30	DOWN
CDC42BPB	0.345640103858988	1.18065721410621e-30	Non-significant
SLC30A2	-0.115377576	1.18080358077816e-30	Non-significant
MSN	0.759271287176863	1.35465757078239e-30	Non-significant
SYNRG	-0.308884429	1.35844726561969e-30	Non-significant
P4HA1	1.01174782692726	1.37974492202399e-30	UP
HIP1	0.47146662276884	1.72237314926796e-30	Non-significant
ACADSB	-0.798884154	1.74543845833058e-30	Non-significant
TMEM97	-1.076539014	1.78673445774979e-30	DOWN
EIF3J	-0.7193639	1.90716308192926e-30	Non-significant
DNAJC25	-0.551586662	1.95545475561114e-30	Non-significant
DENND4A	-0.279201336	2.00954387867913e-30	Non-significant
CELA3A	-2.28288546	2.38608426224258e-30	DOWN
BCAR1	0.428083507811311	2.52748317464791e-30	Non-significant
LUZP1	0.415521438112286	2.68059097692511e-30	Non-significant
ZNF330	-0.43508725	3.10032099818755e-30	Non-significant
LDHB	-0.762139675	3.61031184055516e-30	Non-significant
PARP9	0.449007175021951	3.74897590915856e-30	Non-significant
FLNA	0.794279265194467	3.90583988147794e-30	Non-significant
GLS	-0.53796438	4.44140612888209e-30	Non-significant
PDXP	-0.30793429	4.78784811149375e-30	Non-significant
DHTKD1	-0.607735463	4.81924417783009e-30	Non-significant
SAR1B	-0.630789654	5.28666262374799e-30	Non-significant
FAM49B	0.665694743481391	5.36081032505923e-30	Non-significant
PHGDH	-1.273543843	5.89911397464315e-30	DOWN
JPT1	0.701808921508691	6.08376927547514e-30	Non-significant
LY75_CD302	0.430707499804126	6.12040691406679e-30	Non-significant
ASAP1	0.279977435638454	6.29314799941238e-30	Non-significant
PPM1K	-0.304012326	6.42095321040219e-30	Non-significant
COX6A1	-0.619466278	6.68120501728165e-30	Non-significant
ODR4	-0.673236961	6.7522055759293e-30	Non-significant
LGALS2	-1.417078598	7.75505124191212e-30	DOWN
GADD45GIP1	-0.276524396	7.81600575448621e-30	Non-significant
NDUFV2	-0.628829031	8.04862835030328e-30	Non-significant
PRKAR2A	-0.492577843	8.96636939554099e-30	Non-significant
P3H1	0.698576680429075	1.01806515557487e-29	Non-significant
AHR	0.323417199529131	1.1057115786944e-29	Non-significant
PDIA2	-2.25235733	1.1430253458065e-29	DOWN
CD55	1.18956614314357	1.16924395577798e-29	UP
TPM4	0.73969711753921	1.16924395577798e-29	Non-significant
RPS18	-0.985011749	1.17941695420729e-29	Non-significant
VASP	0.638258778484478	1.20770297322192e-29	Non-significant
MYO9B	0.427671188992564	1.23880047589784e-29	Non-significant
CA4	-0.932182301	1.24250053336008e-29	Non-significant
TBC1D24	-0.48260594	1.32366986236409e-29	Non-significant
TFG	-0.599416902	1.39115097261096e-29	Non-significant
IMPA2	-1.546944601	1.4145680854434e-29	DOWN
EHBP1L1	0.325801271561264	1.49195124237418e-29	Non-significant
HOOK3	0.411276955793695	1.69229960718545e-29	Non-significant
CLDN3	-0.934279885	1.87371132873769e-29	Non-significant
GALNT7	0.677768400653491	1.93538172726747e-29	Non-significant
RAB34	0.515558100982071	2.06979452027427e-29	Non-significant
HOOK2	-0.626912458	2.08724604149847e-29	Non-significant
COX5B	-0.887734167	2.18721715626847e-29	Non-significant
TYMP	0.955398701374136	2.22508585323019e-29	Non-significant
MCEE	-0.952814491	2.39673992428944e-29	Non-significant
YWHAE	-0.422670111	2.6652895633845e-29	Non-significant
RAP1GAP	-0.458205223	2.66668345917908e-29	Non-significant
TRIP11	-0.473767962	2.93645562992407e-29	Non-significant
RPS3	-0.733189594	3.00843951648711e-29	Non-significant
ZNF503	-0.312254242	3.14239140110624e-29	Non-significant
NDUFAF2	-0.524326931	3.18881234965241e-29	Non-significant
PRSS3	-2.038412514	3.62872949230557e-29	DOWN
ACTR2	0.459905340603109	3.75493781915722e-29	Non-significant
SETMAR	-0.329187425	3.80356845554159e-29	Non-significant
THBS1	1.72387585237027	3.81857731877281e-29	UP
AMY2B	-2.293803734	3.92007727043222e-29	DOWN
MICAL1	0.467338804124904	3.93801705914533e-29	Non-significant
COLGALT1	0.599715801606687	4.14778695341658e-29	Non-significant
MARS2	-0.249156799	4.3713798967557e-29	Non-significant
DLG3	-0.426625413	4.3713798967557e-29	Non-significant
RARS2	-0.302954495	4.84141794748373e-29	Non-significant
MMP14	0.537684633460862	4.84141794748373e-29	Non-significant
TMEM51	-0.76462701	4.99890137919198e-29	Non-significant
NUDT19	-0.467484746	5.76675328006894e-29	Non-significant
AMPD3	0.525857806480077	5.76675328006894e-29	Non-significant
EPPK1	0.897758559758274	7.09124009011147e-29	Non-significant
RPS10	-0.636944691	7.26021294504178e-29	Non-significant
KCNJ5	-0.292627468	7.5004574882641e-29	Non-significant
BCKDHB	-0.894530053	7.87593722039876e-29	Non-significant
VCAN	1.34250136840772	7.93836962543201e-29	UP
CADM4	-0.436061565	8.23675076592164e-29	Non-significant
PNPO	-0.400740355	8.3731412404873e-29	Non-significant
TDRD3	-0.245236266	8.74893312326777e-29	Non-significant
GRK2	0.354172132628531	9.27404026785674e-29	Non-significant
RABL3	-0.607180099	9.36821922449138e-29	Non-significant
PLOD1	0.715932380977449	9.79226026661956e-29	Non-significant
SEC63	-0.676950969	9.79226026661956e-29	Non-significant
TCEA3	-0.650934396	9.81669333155881e-29	Non-significant
PDCD4	-0.823903608	9.81669333155881e-29	Non-significant
NDUFB8	-0.5950764	1.04215351384306e-28	Non-significant
ARFGEF3	-0.324111952	1.10786998608286e-28	Non-significant
QTRT1	-0.45319986	1.13574246643191e-28	Non-significant
OMA1	-0.44311956	1.17340106304058e-28	Non-significant
RPLP2	-0.976644721	1.25162102632444e-28	Non-significant
LGALS1	0.877427654960974	1.28415984230645e-28	Non-significant
CUZD1	-1.026120173	1.29267571785055e-28	DOWN
MTUS1	-0.44532004	1.31757554251836e-28	Non-significant
MPC2	-0.38661657	1.32141152907719e-28	Non-significant
GLUD2	-0.57849126	1.54799992741523e-28	Non-significant
UBASH3B	0.465080016743659	1.54871653891217e-28	Non-significant
MAP4K5	0.273917850480773	1.55533341818215e-28	Non-significant
SERPINB9	0.854685203164824	1.57095272849465e-28	Non-significant
CXCL12	-0.54585702	1.60626339606894e-28	Non-significant
IQGAP1	0.431532390941141	1.65087836587891e-28	Non-significant
RPL23A	-0.931599792	1.65473621424232e-28	Non-significant
VCL	0.6077517096456	1.67954275149966e-28	Non-significant
TIMM8A	-0.674484103	1.74249915366468e-28	Non-significant
FKBP10	0.665568818910115	1.74539354475754e-28	Non-significant
CLPS	-2.214548741	1.93506690083767e-28	DOWN
MLEC	-1.117731265	2.05962251341735e-28	DOWN
COL1A2	0.977144016207447	2.05962251341735e-28	Non-significant
MYO5C	-0.68203023	2.17043286509007e-28	Non-significant
PCYT2	-0.382933758	2.32011070959922e-28	Non-significant
RPN2	-0.948797469	2.32483997667414e-28	Non-significant
GLUD1	-0.57877254	2.45478213670985e-28	Non-significant
SEL1L	-0.77708771	2.47043602435288e-28	Non-significant
ZYX	0.677339788764828	3.11780607553583e-28	Non-significant
TBC1D2B	0.321590496334491	3.11780607553583e-28	Non-significant
FN1	1.26414886080908	3.16505976939218e-28	UP
RPL22	-0.953362403	3.33226918521779e-28	Non-significant
COL3A1	0.950047568215518	3.36549593611102e-28	Non-significant
CCDC9	-0.461000902	3.36764858588486e-28	Non-significant
NDUFA5	-0.688479585	3.53157107526863e-28	Non-significant
PYCARD	0.57062572466802	3.64990583900576e-28	Non-significant
XPNPEP3	-0.248349462	3.74731652525529e-28	Non-significant
EDEM2	-0.099078231	3.78671373482068e-28	Non-significant
NSF	-0.466366047	3.78999888551535e-28	Non-significant
DBN1	0.658264987119183	4.12619324004313e-28	Non-significant
SPCS2	-1.34116985	4.13622672528303e-28	DOWN
FH	-0.668335404	4.23692343533375e-28	Non-significant
SRP72	-0.775339368	4.53083814792493e-28	Non-significant
COQ9	-0.521305608	4.57710704317631e-28	Non-significant
ACTB	0.571061365186205	4.6452642420139e-28	Non-significant
FAHD2A	-0.558617383	4.7796517060665e-28	Non-significant
ARMCX2	-0.518469374	5.11928261660703e-28	Non-significant
ARHGEF10L	-0.518252574	5.47778668156911e-28	Non-significant
AGPS	0.375384181181942	5.50710708172296e-28	Non-significant
NHLRC3	-0.424345239	5.8889201704182e-28	Non-significant
FAP	0.670432487833384	6.07816347691462e-28	Non-significant
NDUFS6	-0.875302784	6.23563505928178e-28	Non-significant
COTL1	0.914867195153008	6.25734454062352e-28	Non-significant
CFL1	0.684971341240407	6.25734454062352e-28	Non-significant
H6PD	0.541520110404839	6.89857496806436e-28	Non-significant
S100A6	1.18750881353361	7.04583350860369e-28	UP
N4BP2	-0.100392291	7.14069414396268e-28	Non-significant
GRB10	-0.493909175	7.98022855988749e-28	Non-significant
VLDLR	-0.190580097	8.96998304053872e-28	Non-significant
NOMO2	-0.755090906	9.17621347937622e-28	Non-significant
FSTL1	0.717733558264769	9.2500044983798e-28	Non-significant
MIA3	-0.702687545	9.2500044983798e-28	Non-significant
TBL2	-0.933728569	9.72530223290953e-28	Non-significant
TBXAS1	0.478144529695746	9.81061499808758e-28	Non-significant
ACAD8	-0.565363152	1.03125455650165e-27	Non-significant
ITPR3	0.667764098115092	1.03125455650165e-27	Non-significant
FGL1	-0.986281595	1.03125455650165e-27	Non-significant
LAMB3	1.04202051987508	1.05332540889873e-27	UP
