Protein	logFC	adj.P.Val	class
EDC3	0.0900467309532402	1.39196981452538e-05	Non-significant
FAM198B	0.0690807459614247	1.39660813100426e-05	Non-significant
MAPK8	0.0417693982237158	1.40009436587984e-05	Non-significant
TTC17	-0.035422651	1.40499092543314e-05	Non-significant
CBWD2	-0.070888532	1.40808717607664e-05	Non-significant
ARMCX3	-0.14971084	1.41783114330442e-05	Non-significant
PTK6	0.0613857640567979	1.42012653216581e-05	Non-significant
TRAPPC2L	0.102313205987971	1.42402517409334e-05	Non-significant
RPL14	-0.309378376	1.42437328005753e-05	Non-significant
SZRD1	0.121602850785024	1.42797261337547e-05	Non-significant
HIRA	-0.048226356	1.42972816359327e-05	Non-significant
PLA2G7	0.0480493244635743	1.44322581261899e-05	Non-significant
FAM98B	-0.106799087	1.44432071289224e-05	Non-significant
PDPR	-0.122558574	1.44755747510829e-05	Non-significant
SPTA1	-0.486798856	1.44762627081259e-05	Non-significant
EEF2K	-0.098333469	1.4510904930467e-05	Non-significant
HLA_DQB1	0.243520231777525	1.45272156818514e-05	Non-significant
CD180	0.148701629030084	1.4560049692136e-05	Non-significant
SLC20A2	-0.043673636	1.46171310582144e-05	Non-significant
TCERG1	0.107194573610274	1.46403329972372e-05	Non-significant
WASF2	-0.168344789	1.47694222717038e-05	Non-significant
USP15	0.115463731643721	1.48266086267949e-05	Non-significant
USP47	-0.103507718	1.49076780834156e-05	Non-significant
UBE2F	-0.106390462	1.49291788565586e-05	Non-significant
SEC22B	-0.301858869	1.49545639879138e-05	Non-significant
DPH7	-0.067135603	1.51123757888443e-05	Non-significant
NCAPG2	0.0422551242418805	1.51265061554151e-05	Non-significant
PATL1	0.0881815346639722	1.51485252670816e-05	Non-significant
MMP9	0.465336686661627	1.52557355864482e-05	Non-significant
OCLN	-0.19670484	1.52914856019341e-05	Non-significant
FAM126A	0.074387614405536	1.53677519050433e-05	Non-significant
AGFG2	-0.15411732	1.54035510256814e-05	Non-significant
COLEC12	0.136269048210502	1.54587430131995e-05	Non-significant
ATXN3	0.0852764917348673	1.55210405811738e-05	Non-significant
ATP6V1C1	0.142793501974274	1.55707917460407e-05	Non-significant
MSMO1	0.0440391045953633	1.5745661231537e-05	Non-significant
SELENOO	-0.09950304	1.58780486642931e-05	Non-significant
SLC44A1	0.143441957824534	1.60387269857332e-05	Non-significant
MKRN2	-0.141087282	1.60850721558104e-05	Non-significant
ZZZ3	-0.014816533	1.60943747642534e-05	Non-significant
UNC45A	0.124500401041276	1.6115455548795e-05	Non-significant
PYROXD2	-0.019899755	1.61389539680128e-05	Non-significant
ANAPC16	-0.041277325	1.62894667056751e-05	Non-significant
CWF19L2	-0.040657353	1.63287693674224e-05	Non-significant
TFF3	0.336090553727976	1.63648659033353e-05	Non-significant
USP8	-0.09336322	1.65703921206175e-05	Non-significant
TMSB10	0.0793400106086671	1.66656388901353e-05	Non-significant
PLCD3	0.132249379947459	1.69684617111119e-05	Non-significant
PYGM	-0.075626457	1.69708115368941e-05	Non-significant
WDR12	-0.122249763	1.70384735604128e-05	Non-significant
RNASE1	-0.39328831	1.70501987816354e-05	Non-significant
LGALS8	0.0947659886092407	1.70984524011739e-05	Non-significant
PIP4K2B	0.113603440489696	1.71094483927898e-05	Non-significant
SELENOM	0.199457751291826	1.71233273813113e-05	Non-significant
GNG5	0.232047709718354	1.72535566095152e-05	Non-significant
CPA3	0.308544456401435	1.73165021262226e-05	Non-significant
BAG1	-0.113726771	1.74887800856873e-05	Non-significant
KLK10	0.117712420847171	1.75731314317802e-05	Non-significant
RPS21	-0.287267103	1.76116843765825e-05	Non-significant
MCTS1	-0.208885543	1.76479364657385e-05	Non-significant
MAX	0.149522185241956	1.76614208107157e-05	Non-significant
ENDOG	-0.082676007	1.76871664278531e-05	Non-significant
VCP	-0.187126255	1.77228247136336e-05	Non-significant
LMAN2L	-0.138225301	1.79136042040157e-05	Non-significant
PHF3	-0.091545569	1.79149894767696e-05	Non-significant
TROVE2	0.185632250726004	1.80436294277098e-05	Non-significant
HERPUD2	0.0152791652878712	1.81174808349525e-05	Non-significant
FAM89B	-0.038546456	1.81451742512472e-05	Non-significant
PYURF	0.0895179056745956	1.83786553587706e-05	Non-significant
PDE6D	0.0821591912969685	1.86899296191107e-05	Non-significant
DSG3	0.0900443706652846	1.88429899987283e-05	Non-significant
LPL	-0.018060398	1.90107817643326e-05	Non-significant
TARSL2	-0.063051524	1.9171345960772e-05	Non-significant
CDH13	0.189075907938829	1.91822669830639e-05	Non-significant
MORF4L2	0.0392649945940223	1.93006583878086e-05	Non-significant
UBAC1	-0.141700155	1.93101151434544e-05	Non-significant
WDR45B	0.0982811035328377	1.9511931800299e-05	Non-significant
STK25	0.0941365724592056	1.95132606549243e-05	Non-significant
PDIA3	-0.205496186	1.95266602184866e-05	Non-significant
NSUN4	-0.053920104	1.95595053289033e-05	Non-significant
RPL7	-0.259354977	1.95595053289033e-05	Non-significant
WDFY2	-0.049645453	1.95739464625987e-05	Non-significant
EHHADH	0.162351244220536	1.96350112067967e-05	Non-significant
ITSN1	0.177294251071084	1.97740837055662e-05	Non-significant
EIF3F	-0.208474352	1.98972827585184e-05	Non-significant
SPG21	0.087688418225819	1.99280337403887e-05	Non-significant
BAG2	0.235045146343759	2.02040634544634e-05	Non-significant
ROR2	0.12719863843817	2.0416504772298e-05	Non-significant
TUFT1	0.0910207197076423	2.04593216735325e-05	Non-significant
CALCOCO2	0.090571250701076	2.04822496254628e-05	Non-significant
EEF1AKMT2	-0.033295674	2.05915331919956e-05	Non-significant
KLHL36	-0.03983751	2.06353366846322e-05	Non-significant
TUBGCP4	-0.044539857	2.07370659599487e-05	Non-significant
RILPL2	0.271698969989283	2.08024440774632e-05	Non-significant
CBX6	-0.048145884	2.08089245982408e-05	Non-significant
IKBKE	0.0296320971112833	2.08381308271878e-05	Non-significant
GRHL2	-0.07269816	2.10404622601327e-05	Non-significant
VPS18	0.100719023488837	2.11987403203309e-05	Non-significant
MED21	-0.053364416	2.12550240210309e-05	Non-significant
EDC4	0.0774186339973182	2.1387245209092e-05	Non-significant
SCARB2	-0.241699461	2.1436068213195e-05	Non-significant
DDX58	0.197196066829864	2.17884642821412e-05	Non-significant
SERPINA10	0.118456869264891	2.18311650809788e-05	Non-significant
HINT1	-0.128812826	2.18592279856493e-05	Non-significant
DDAH2	0.265992180256476	2.18840689713695e-05	Non-significant
IRF3	0.132808368355906	2.18871581823028e-05	Non-significant
OXA1L	-0.132055591	2.22606274398121e-05	Non-significant
HBG2	-0.780679817	2.22913171943919e-05	Non-significant
DNAJC9	0.161729314512628	2.24408090873303e-05	Non-significant
WWP2	-0.037136147	2.28031688533793e-05	Non-significant
NUP153	0.103145337591828	2.29149204017571e-05	Non-significant
SIGIRR	-0.10303789	2.30245345480873e-05	Non-significant
COL7A1	0.166204205618308	2.30329009164753e-05	Non-significant
POGLUT1	0.145892028987287	2.31985332518296e-05	Non-significant
GPX4	0.183197315897792	2.32257734803662e-05	Non-significant
ATG16L1	0.0886870578985364	2.34994604522067e-05	Non-significant
ABCB7	-0.097029884	2.35887834096021e-05	Non-significant
RRAD	-0.053286122	2.37678324261509e-05	Non-significant
SLC6A14	0.0882228587099022	2.382479993385e-05	Non-significant
AGT	0.313237617539789	2.382479993385e-05	Non-significant
CA5B	-0.084252768	2.39077135619117e-05	Non-significant
KIFC3	-0.011045722	2.39903376750583e-05	Non-significant
DMD	-0.19460393	2.40897921910538e-05	Non-significant
MSRB2	0.0933249357888671	2.41358255833763e-05	Non-significant
PGAM5	0.146593359741618	2.41957951081339e-05	Non-significant
IMPA1	-0.172716002	2.42022015802222e-05	Non-significant
GOLGA7	-0.087743098	2.42417725888396e-05	Non-significant
TMPO	0.14794459883263	2.44467043928304e-05	Non-significant
PEA15	0.335234438963148	2.44873333953924e-05	Non-significant
CPN2	0.259028718186719	2.452700323948e-05	Non-significant
HMBS	-0.205154768	2.46482312663424e-05	Non-significant
CSNK1G3	0.0687076097560824	2.46941641662552e-05	Non-significant
HLA_DRB3	0.0976055217224888	2.47652145104022e-05	Non-significant
CENPV	-0.200535249	2.47783926977862e-05	Non-significant
SORBS3	0.221334851114362	2.48709131570627e-05	Non-significant
TCEAL1	-0.055797989	2.50508327971206e-05	Non-significant
NDUFA4L2	0.0851818158454435	2.50761013906973e-05	Non-significant
LZTS1	0.0715855344809935	2.51210519705725e-05	Non-significant
HNRNPM	-0.126592403	2.51618723254173e-05	Non-significant
GTF3C6	-0.04325172	2.51928285200626e-05	Non-significant
SMC6	0.15838222714244	2.53369550626086e-05	Non-significant
TNFAIP3	0.0290481041117471	2.54713985855873e-05	Non-significant
COX6C	0.452920260970636	2.55491248341505e-05	Non-significant
GAD2	-0.053910084	2.55726209547198e-05	Non-significant
PTGIS	0.254516712147842	2.56424348526873e-05	Non-significant
VGF	-0.333324378	2.56960019600976e-05	Non-significant
TP53I11	0.120753552847847	2.57457200218221e-05	Non-significant
SNU13	0.269341204206862	2.58044331419075e-05	Non-significant
SHF	0.0333318050340433	2.58252262595164e-05	Non-significant
C2orf76	-0.045243438	2.62047880282974e-05	Non-significant
FGD6	0.104778372354692	2.62638242320839e-05	Non-significant
AHSG	0.386960639345634	2.63798683717048e-05	Non-significant
TLN2	0.244350053195592	2.63949772199456e-05	Non-significant
ICAM3	0.169487416200961	2.64471422249777e-05	Non-significant
ERCC3	0.091689085665263	2.64801085549379e-05	Non-significant
SOX4	0.125488247767053	2.65219569701088e-05	Non-significant
PPIC	0.172033061187404	2.65754838767184e-05	Non-significant
GULP1	0.107443560930723	2.66095269636926e-05	Non-significant
GNG12	0.209296455149265	2.66898037702057e-05	Non-significant
LMTK2	-0.079918382	2.67189422551276e-05	Non-significant
CXCL17	-0.055050324	2.67626490786121e-05	Non-significant
RAD1	-0.051879863	2.74148917313244e-05	Non-significant
TBC1D8B	-0.142084548	2.76463498372656e-05	Non-significant
CTPS1	0.115760530177015	2.77332651204222e-05	Non-significant
WDR91	-0.092152441	2.79054131442857e-05	Non-significant
ROBO1	0.0445667638089754	2.79054131442857e-05	Non-significant
HSD17B10	-0.265595623	2.81293694768264e-05	Non-significant
IAPP	-0.385021237	2.8159106151952e-05	Non-significant
COX5A	-0.406424477	2.81682803270945e-05	Non-significant
LRRC20	0.0792444663989567	2.81704140331981e-05	Non-significant
NT5DC1	0.150675411487143	2.85478043901666e-05	Non-significant
FCF1	-0.054440404	2.86068275028694e-05	Non-significant
SH3YL1	-0.058529052	2.87231472504597e-05	Non-significant
NDUFS5	-0.202103834	2.88180079698864e-05	Non-significant
YARS2	-0.130772979	2.88980874944353e-05	Non-significant
TJP1	-0.116278366	2.89199800398783e-05	Non-significant
MAPRE2	0.122404757853558	2.89499254418148e-05	Non-significant
ANKS6	-0.040175225	2.90903494309117e-05	Non-significant
BDH2	-0.265483012	2.9258059355725e-05	Non-significant
CYFIP1	0.111746193293949	2.93378127960543e-05	Non-significant
TBC1D5	0.0848948790604322	2.96815831723223e-05	Non-significant
NDC1	-0.077985789	3.00101648685979e-05	Non-significant
SNUPN	0.0997990568831068	3.00565231793153e-05	Non-significant
ACE	0.180268334430633	3.01183568112054e-05	Non-significant
BBS1	-0.030489047	3.01756253475847e-05	Non-significant
INO80	-0.079359483	3.08375693691463e-05	Non-significant
PIK3CG	0.0798124253816387	3.0853369286712e-05	Non-significant
CTDP1	-0.098425816	3.14105102755764e-05	Non-significant
CDC42BPG	-0.041924208	3.14124435362057e-05	Non-significant
UBE2I	0.1815370131536	3.14486124892236e-05	Non-significant
AKR1B1	-0.209462363	3.15514665186216e-05	Non-significant
THG1L	0.0833457333646112	3.19443158918669e-05	Non-significant
TCF4	0.0554282390704841	3.22317526785213e-05	Non-significant
CNPY4	0.173147650420415	3.26568291820643e-05	Non-significant
EIF2S3	-0.20392604	3.29818556292392e-05	Non-significant
PHF23	-0.055315902	3.30658663509147e-05	Non-significant
HMGA2	0.253968907128592	3.31953255752648e-05	Non-significant
RNF149	-0.044770913	3.36412305140231e-05	Non-significant
LAMTOR2	0.183813283464505	3.3979135876515e-05	Non-significant
SLC27A1	0.0884242536370984	3.42028499163311e-05	Non-significant
JAK1	0.115089893169084	3.42942772113325e-05	Non-significant
DNAJB5	-0.037611009	3.47988687815166e-05	Non-significant
NLRX1	-0.112850374	3.53667728689552e-05	Non-significant
FAM84B	0.0961200864697979	3.55141904759223e-05	Non-significant
GPS1	0.12706105310013	3.57722792480001e-05	Non-significant
RPS4Y1	-0.453451234	3.5959400508421e-05	Non-significant
COMMD3_BMI1	0.116096138926014	3.62536467173466e-05	Non-significant
EIF2B1	-0.182894948	3.63483708138686e-05	Non-significant
EPC2	-0.024544078	3.63693349751204e-05	Non-significant
SNX17	0.0795655381858478	3.67211689294607e-05	Non-significant
NEBL	-0.242282894	3.71037770442481e-05	Non-significant
NAP1L4	-0.165424135	3.73013227401844e-05	Non-significant
ARID4A	-0.054678167	3.7424071144727e-05	Non-significant
NDST1	-0.022619271	3.75036515024606e-05	Non-significant
DOCK4	0.126528928360962	3.77883483641349e-05	Non-significant
CRIPT	0.0688816900977818	3.7890079731287e-05	Non-significant
PHF14	0.0617441267531985	3.80384576963206e-05	Non-significant
PSMD6	0.138742870213267	3.80384843701924e-05	Non-significant
POLR1D	-0.091138705	3.81271257029634e-05	Non-significant
GPRASP2	-0.021015673	3.82270444372425e-05	Non-significant
FCHSD1	0.100920796689713	3.84711607151856e-05	Non-significant
ASCC2	-0.085974436	3.91057428035072e-05	Non-significant
RPL11	-0.291627898	3.91561939976021e-05	Non-significant
C7	0.364082379524407	3.97586813312986e-05	Non-significant
KIAA1211L	-0.019976421	3.98091055077525e-05	Non-significant
C4A	0.284681412608438	3.98285884089795e-05	Non-significant
CAB39	0.109345524601379	4.0029669159322e-05	Non-significant
KRR1	-0.093794273	4.00495760229373e-05	Non-significant
COPS7B	-0.083336448	4.00812164081621e-05	Non-significant
GATD3B	-0.26387934	4.01263230847155e-05	Non-significant
DSTN	-0.18665918	4.09249126164941e-05	Non-significant
RPS6KB2	-0.051149235	4.11019547582645e-05	Non-significant
VIPAS39	0.077676758714365	4.15127836095049e-05	Non-significant
RPL28	-0.333421635	4.17869822181887e-05	Non-significant
HLA_E	0.122037597144128	4.18014759504842e-05	Non-significant
SIRPA	0.129763607735483	4.18599956784215e-05	Non-significant
MRPL47	-0.142798093	4.20358926319136e-05	Non-significant
GPBP1	-0.019119149	4.2116030809611e-05	Non-significant
FAM45A	-0.098905569	4.21804647870916e-05	Non-significant
TCF3	-0.024813466	4.23100042504304e-05	Non-significant
PPBP	-0.457513858	4.23963279042994e-05	Non-significant
HEXIM1	0.119116827189367	4.24548458345719e-05	Non-significant
RNASE4	0.174993055044464	4.2725564905004e-05	Non-significant
CAPN8	0.0657180902533037	4.27479445862389e-05	Non-significant
NOC3L	-0.134034905	4.27646246665698e-05	Non-significant
COA7	0.107340913063127	4.29946028916984e-05	Non-significant
MOSPD2	0.085609033632614	4.30005029986469e-05	Non-significant
PRRC2B	-0.067696133	4.34180481734799e-05	Non-significant
ABHD17C	0.0307600918326083	4.36536529899827e-05	Non-significant
NKIRAS2	0.0844457752351285	4.4292866206107e-05	Non-significant
CCDC93	-0.096126075	4.45035795965527e-05	Non-significant
TFCP2	0.0847741590871659	4.45168559868206e-05	Non-significant
ABHD10	-0.281561298	4.50193163776882e-05	Non-significant
GUCY1A2	-0.090293496	4.52851161487729e-05	Non-significant
BICD1	0.0264293494314072	4.52933728042414e-05	Non-significant
CHTF18	-0.059787818	4.5780927868623e-05	Non-significant
METRNL	0.0331578345644116	4.59117638823645e-05	Non-significant
RNF181	0.160167439020341	4.60825267750968e-05	Non-significant
PODN	0.278098044410922	4.61237037968766e-05	Non-significant
MSANTD2	-0.014613085	4.62341439218113e-05	Non-significant
EPS15L1	0.114075986444777	4.66731565018719e-05	Non-significant
MUC3A	0.0888012092946819	4.7393786502581e-05	Non-significant
TRAPPC13	0.123893010991483	4.74801610413132e-05	Non-significant
FLT1	0.183203904018957	4.76572143158548e-05	Non-significant
IFIH1	0.149832732410629	4.7664709454811e-05	Non-significant
C5AR1	0.134479993322329	4.78260156708521e-05	Non-significant
MRPS28	-0.15847714	4.79708748251153e-05	Non-significant
UFC1	0.321274643066215	4.81199535799403e-05	Non-significant
ENPP4	0.138383457491084	4.84903348184693e-05	Non-significant
PRKCSH	-0.135233185	4.91526567288998e-05	Non-significant
TDG	0.0215156362619743	4.94866410271544e-05	Non-significant
CLUAP1	-0.029347241	4.96316707208386e-05	Non-significant
CRYBG2	0.275907575892342	4.97867612860977e-05	Non-significant
FAHD1	-0.197924202	4.98319229259501e-05	Non-significant
A2ML1	0.152844655703487	4.99978961586036e-05	Non-significant
TRMT10A	-0.026062711	5.01057570616051e-05	Non-significant
ZNF451	-0.083632845	5.06960185771963e-05	Non-significant
MZT1	-0.027733219	5.07225629979327e-05	Non-significant
TFB2M	-0.081137224	5.07415133554241e-05	Non-significant
CTNNBIP1	0.0757573744330309	5.08742749322751e-05	Non-significant
RNF113A	-0.117247325	5.08935078540689e-05	Non-significant
TBCK	0.0894097638004401	5.09089723151508e-05	Non-significant
DVL3	0.135805745251893	5.11353842532163e-05	Non-significant
COMT	0.224541367922309	5.12334026015002e-05	Non-significant
RNF220	0.0610357588393381	5.12449060191123e-05	Non-significant
WDR46	0.070732390525474	5.1464027998226e-05	Non-significant
GART	0.154411567794313	5.14654143650645e-05	Non-significant
ANXA8	0.158558318349274	5.22002684370138e-05	Non-significant
MIB1	0.0772460073862888	5.26405856429623e-05	Non-significant
AP4S1	-0.017668988	5.26955952345848e-05	Non-significant
PRKACB	-0.145831946	5.34508674599805e-05	Non-significant
CCDC71L	0.0371566621351704	5.35930503105725e-05	Non-significant
DDX52	-0.100501157	5.37356139079383e-05	Non-significant
LARP7	-0.106352867	5.41495827542825e-05	Non-significant
DNM3	-0.082518135	5.42320218724387e-05	Non-significant
PPP1CA	0.196413752426014	5.42320218724387e-05	Non-significant
NQO2	-0.261613643	5.42435453576863e-05	Non-significant
YWHAB	0.164762835798693	5.43100625223711e-05	Non-significant
AAAS	0.0479910505234049	5.43763802037059e-05	Non-significant
FXR1	0.106372141512781	5.49532162767865e-05	Non-significant
FSD1L	-0.013358997	5.50858174007569e-05	Non-significant
ZZEF1	-0.081930514	5.50924710539538e-05	Non-significant
CHRAC1	0.0202427448902795	5.50924710539538e-05	Non-significant
RAB8A	-0.176113415	5.5111569284211e-05	Non-significant
NDUFA9	-0.197218837	5.51262355642725e-05	Non-significant
KRT23	0.350181675227168	5.51262355642725e-05	Non-significant
TTC39C	0.0963945270607659	5.51915055604487e-05	Non-significant
SERPINB10	0.217831468649725	5.53420272343629e-05	Non-significant
TPR	0.106408884326711	5.57279265066257e-05	Non-significant
TBC1D8	-0.012095277	5.5944973521174e-05	Non-significant
COPS4	-0.119237321	5.63048569208062e-05	Non-significant
THEM4	-0.070846015	5.63760250207683e-05	Non-significant
KDM8	-0.040677485	5.65751253163158e-05	Non-significant
NIT1	-0.153985841	5.68316757801829e-05	Non-significant
CACTIN	-0.050214403	5.72390884798098e-05	Non-significant
PLEKHG1	0.0927489716599007	5.73055885367398e-05	Non-significant
UBQLN2	0.123952412127231	5.7453335662707e-05	Non-significant
PEX11A	0.00664159902799302	5.82554489099497e-05	Non-significant
RTN3	0.221577672401163	5.83873130923297e-05	Non-significant
CNPY2	-0.148131993	5.85015573369146e-05	Non-significant
UVRAG	0.0879979890798246	5.86677855597405e-05	Non-significant
CIAO1	0.09622622238159	5.94606679939985e-05	Non-significant
CASC4	-0.161472825	5.97692478427007e-05	Non-significant
NAA35	-0.079606136	6.03766886458636e-05	Non-significant
KDM1B	-0.035958439	6.04543067657799e-05	Non-significant
HIST2H2AB	0.296319019055757	6.08312284010306e-05	Non-significant
SPTBN1	0.178600386063352	6.09495439183724e-05	Non-significant
CDH2	0.0394306564391493	6.142494167038e-05	Non-significant
LARP4	-0.122562768	6.15076332764147e-05	Non-significant
NCOA7	-0.077563395	6.18705574638936e-05	Non-significant
COL4A1	0.214595503138457	6.19052770519645e-05	Non-significant
PAPOLA	-0.068200098	6.212185330219e-05	Non-significant
MYL6B	0.0983956942608279	6.22629452680275e-05	Non-significant
RETN	0.290922747818235	6.22833610153738e-05	Non-significant
CDC42EP3	0.0465374902945548	6.2855341499226e-05	Non-significant
STRADA	-0.028665426	6.30670994202616e-05	Non-significant
CHCHD1	-0.031248775	6.36234683722075e-05	Non-significant
CD5L	0.362762057155038	6.36871932293241e-05	Non-significant
CDK6	-0.106548468	6.47580347312277e-05	Non-significant
DPP4	0.212683582249089	6.48554735637047e-05	Non-significant
SH3TC1	0.0466580097596625	6.50716066724151e-05	Non-significant
SERPINA7	0.228180338514252	6.51345614969662e-05	Non-significant
ATXN2L	0.113498124282847	6.55472945493996e-05	Non-significant
USP6NL	-0.057245452	6.64268902805148e-05	Non-significant
JAG1	0.0752611931547478	6.76120237612232e-05	Non-significant
HERC2	-0.112073674	6.7618321349001e-05	Non-significant
WDR26	0.0734433195019362	6.81564570066172e-05	Non-significant
CD177	0.187007128063669	6.8434901606038e-05	Non-significant
GNAI1	0.127900197738506	6.85854488173187e-05	Non-significant
CUL7	-0.055483722	6.87605877687103e-05	Non-significant
SAMD4B	0.133062264961742	6.90967769409534e-05	Non-significant
RABGEF1	-0.079964479	6.91279067504761e-05	Non-significant
XRN1	0.0701071387486476	7.01635161990708e-05	Non-significant
RXRA	-0.051293252	7.06746709427742e-05	Non-significant
C4orf33	-0.069103201	7.06825616888434e-05	Non-significant
RTRAF	-0.195299892	7.07018345391194e-05	Non-significant
ZMYND8	0.0626410534640374	7.07018345391194e-05	Non-significant
APIP	-0.158887551	7.08087936101205e-05	Non-significant
PROM1	0.233564803370113	7.14130332419708e-05	Non-significant
CRYL1	-0.163988249	7.19149556314517e-05	Non-significant
FAM206A	-0.010056672	7.24647514010604e-05	Non-significant
MED16	-0.068310254	7.25897569929451e-05	Non-significant
TBRG4	-0.141374003	7.28359506369012e-05	Non-significant
GATAD1	-0.055196273	7.41303404953056e-05	Non-significant
A1BG	0.300083232773305	7.4197351524113e-05	Non-significant
VPS29	0.234173266862765	7.42392943158044e-05	Non-significant
BLOC1S6	-0.030687767	7.42775179503727e-05	Non-significant
ATP6V0A1	0.128221855957289	7.51586084039407e-05	Non-significant
HLA_DRB4	0.404454408641683	7.51586084039407e-05	Non-significant
WDR59	-0.0613241	7.53318072559067e-05	Non-significant
DNAJC10	0.138334474669858	7.62952052217186e-05	Non-significant
SUB1	0.204758589420587	7.63047549581705e-05	Non-significant
TOP2B	0.128901129867625	7.64997588466926e-05	Non-significant
CACUL1	0.0520215744811526	7.68733256084517e-05	Non-significant
NDUFAF7	-0.056145033	7.71604780970531e-05	Non-significant
TRAPPC3	0.150348031041315	7.75703142635044e-05	Non-significant
RAB10	0.212728135165519	7.76475506599987e-05	Non-significant
DDX50	0.0755363797198707	7.80054711399455e-05	Non-significant
UNC93B1	0.073045181647478	7.81846700932986e-05	Non-significant
HAUS7	0.0247464581490191	7.84556215311195e-05	Non-significant
PRG2	0.398622824628509	7.85916053207325e-05	Non-significant
ADAMTS9	-0.195857401	7.87728987067757e-05	Non-significant
PTPRN2	-0.091533752	7.8865170418376e-05	Non-significant
POFUT2	0.1137217083798	7.90996866212486e-05	Non-significant
RUNX2	0.0229102008146075	7.9651420881629e-05	Non-significant
SEMA3B	-0.015077745	7.99119330947678e-05	Non-significant
SCAMP3	0.177429393808067	7.99298873667092e-05	Non-significant
MAK16	-0.107562826	8.00939003942196e-05	Non-significant
LOXL3	0.0891282514397805	8.08053900087301e-05	Non-significant
CBX4	-0.043949618	8.21248736842457e-05	Non-significant
GIGYF1	-0.079374091	8.2151850221881e-05	Non-significant
ARHGEF16	0.178654343897106	8.2703245790825e-05	Non-significant
S100A3	0.0260886444732057	8.2710583674872e-05	Non-significant
DDX19B	-0.087111056	8.30316768807999e-05	Non-significant
PRKRA	-0.107473913	8.54477108748789e-05	Non-significant
STRN3	0.0961937900834646	8.54700027617877e-05	Non-significant
ELMO3	0.102810046487431	8.56993428970001e-05	Non-significant
VPS4A	0.16407145457997	8.63783524932445e-05	Non-significant
SLC4A2	-0.130167378	8.64197301774824e-05	Non-significant
CYTH4	0.0669680064564407	8.67787922996227e-05	Non-significant
MON2	-0.101924885	8.67812401198566e-05	Non-significant
UTP18	-0.105879294	8.74260794231778e-05	Non-significant
ZNF532	0.0757182407997923	8.75845763266798e-05	Non-significant
SZT2	-0.077362843	8.76878804684456e-05	Non-significant
SLC9A7	-0.047377181	8.77283245730961e-05	Non-significant
JMJD7	-0.058352903	8.77369549160288e-05	Non-significant
APLF	0.0234593356903372	8.80675264490283e-05	Non-significant
EXOC7	0.125553411964645	8.87005749677749e-05	Non-significant
ETHE1	0.189598921858948	8.9029152061888e-05	Non-significant
PPFIA3	-0.090621958	8.91927274711195e-05	Non-significant
PICK1	-0.12946224	8.92329878041577e-05	Non-significant
POMGNT2	-0.02175932	8.95900478672276e-05	Non-significant
FAF1	-0.07925034	8.97284079340152e-05	Non-significant
MYO1C	0.175818759412863	9.01000885868201e-05	Non-significant
ABCA12	-0.019541223	9.2330523920712e-05	Non-significant
LIME1	0.0576425307375147	9.25876534821771e-05	Non-significant
ZAP70	0.127637975523951	9.32243153786669e-05	Non-significant
CALHM5	0.0422654814099777	9.48039939560511e-05	Non-significant
LAMTOR5	0.196212357027314	9.50609295671193e-05	Non-significant
MTG1	-0.042260564	9.57505935242737e-05	Non-significant
R3HCC1L	-0.01591951	9.5804959730483e-05	Non-significant
CSPG4	0.170477505335998	9.59903267976945e-05	Non-significant
CNOT1	0.088878348419521	9.62626247177618e-05	Non-significant
MBLAC1	-0.012179779	9.63608052264443e-05	Non-significant
DUS3L	-0.049510605	9.73599323561099e-05	Non-significant
AKAP1	-0.073579502	9.74176861565554e-05	Non-significant
PBXIP1	0.141854026296125	9.94601822464963e-05	Non-significant
TSTA3	0.280565214016592	9.97481731487552e-05	Non-significant
NOL10	-0.067316617	0.000100034830034875	Non-significant
ISCU	-0.137998592	0.00010076564390599	Non-significant
RPL6	-0.220115173	0.000101209837916836	Non-significant
COPRS	-0.018649503	0.000101327086942499	Non-significant
IRF4	0.0482671165469456	0.000102454258290538	Non-significant
LYRM2	-0.202632918	0.000102717646830933	Non-significant
ARHGEF7	0.135904479234148	0.000102717646830933	Non-significant
SAP18	0.179142369093512	0.000102756941489617	Non-significant
CCDC88A	0.0847910794350641	0.000103022427497498	Non-significant
RMDN2	-0.067641325	0.000103418408866268	Non-significant
PPM1F	0.146171048634143	0.000103605511047007	Non-significant
MTMR11	0.013027769271074	0.000104187204886725	Non-significant
COMMD6	0.162606120096448	0.000104987292561649	Non-significant
ABCC9	0.1454577573535	0.000105405170163732	Non-significant
WDR60	-0.039292345	0.000105507251474475	Non-significant
INTS3	-0.073518924	0.000105918640933558	Non-significant
VPS36	-0.103658675	0.000105945482108114	Non-significant
CABIN1	-0.045880907	0.000106589297084309	Non-significant
PAICS	0.215571748272477	0.000106862204967377	Non-significant
NCL	-0.151919435	0.000106934572376439	Non-significant
RPS2	-0.284430717	0.000108005494645656	Non-significant
ENTR1	-0.080331565	0.000108054287989102	Non-significant
RPL19	0.373249761156883	0.000108527400730583	Non-significant
PPCS	0.14797678509468	0.000109123695768533	Non-significant
VSIG2	0.058856899112937	0.000109891456770094	Non-significant
SLC12A4	0.0626125456437974	0.00011017916121654	Non-significant
FAM151B	0.08070174316185	0.000110276467946277	Non-significant
AGPAT1	0.0981222712048131	0.00011076064026112	Non-significant
TTC5	-0.060202429	0.000111351990976819	Non-significant
CHD1	0.0559803704521269	0.000111777840510959	Non-significant
