Protein_sample	Phosphosite_sample	Cor_sample	group
N_C3L_03395	N_C3L_03395	N_C3L_03395	N
N_C3N_03780	N_C3N_03780	N_C3N_03780	N
N_C3N_00957	N_C3N_00957	N_C3N_00957	N
N_C3N_04282	N_C3N_04282	N_C3N_04282	N
N_C3L_00819	N_C3L_00819	N_C3L_00819	N
N_C3N_03440	N_C3N_03440	N_C3N_03440	N
N_C3N_03061	N_C3N_03061	N_C3N_03061	N
N_C3L_00189	N_C3L_00189	N_C3L_00189	N
N_C3L_01124	N_C3L_01124	N_C3L_01124	N
N_C3L_03632	N_C3L_03632	N_C3L_03632	N
N_C3N_02010	N_C3N_02010	N_C3N_02010	N
N_C3L_04072	N_C3L_04072	N_C3L_04072	N
N_C3N_00518	N_C3N_00518	N_C3N_00518	N
N_C3L_00102	N_C3L_00102	N_C3L_00102	N
N_C3L_00928	N_C3L_00928	N_C3L_00928	N
N_C3N_03840	N_C3N_03840	N_C3N_03840	N
N_C3N_00517	N_C3N_00517	N_C3N_00517	N
N_C3N_02585	N_C3N_02585	N_C3N_02585	N
N_C3N_03426	N_C3N_03426	N_C3N_03426	N
N_C3N_02944	N_C3N_02944	N_C3N_02944	N
N_C3N_02592	N_C3N_02592	N_C3N_02592	N
N_C3N_04119	N_C3N_04119	N_C3N_04119	N
N_C3L_04853	N_C3L_04853	N_C3L_04853	N
N_C3L_03639	N_C3L_03639	N_C3L_03639	N
N_C3N_00514	N_C3N_00514	N_C3N_00514	N
N_C3L_00640	N_C3L_00640	N_C3L_00640	N
N_C3L_01052	N_C3L_01052	N_C3L_01052	N
N_C3N_02573	N_C3N_02573	N_C3N_02573	N
N_C3N_02295	N_C3N_02295	N_C3N_02295	N
N_C3N_00709	N_C3N_00709	N_C3N_00709	N
N_C3L_01031	N_C3L_01031	N_C3L_01031	N
N_C3L_01053	N_C3L_01053	N_C3L_01053	N
N_C3L_00401	N_C3L_00401	N_C3L_00401	N
N_C3N_03839	N_C3N_03839	N_C3N_03839	N
N_C3N_01011	N_C3N_01011	N_C3N_01011	N
N_C3N_03069	N_C3N_03069	N_C3N_03069	N
N_C3N_00512	N_C3N_00512	N_C3N_00512	N
N_C3L_02899	N_C3L_02899	N_C3L_02899	N
N_C3L_03513	N_C3L_03513	N_C3L_03513	N
N_C3L_03514	N_C3L_03514	N_C3L_03514	N
N_C3L_03515	N_C3L_03515	N_C3L_03515	N
N_C3L_07032	N_C3L_07032	N_C3L_07032	N
N_C3L_07033	N_C3L_07033	N_C3L_07033	N
N_C3L_07034	N_C3L_07034	N_C3L_07034	N
N_C3L_07035	N_C3L_07035	N_C3L_07035	N
N_C3L_07036	N_C3L_07036	N_C3L_07036	N
